-0.013495;
0.117396;
-0.022663;
-0.073688;
0.170691;
-0.065909;
-0.037357;
-0.012604;
-0.084519;
0.138407;
-0.020376;
0.131707;
-0.098867;
-0.055710;
0.065609;
0.008698;
-0.015258;
0.063044;
-0.036949;
-0.017813;
-0.095384;
0.141321;
0.040701;
-0.035080;
-0.023552;
-0.129049;
0.004918;
-0.137517;
-0.043016;
0.057671;
0.061596;
-0.014784;
0.084411;
-0.099270;
-0.053398;
-0.031222;
0.047279;
0.024505;
-0.092657;
-0.005485;
-0.009995;
-0.013743;
-0.008612;
-0.036956;
-0.065320;
-0.043262;
0.010640;
0.026604;
0.012149;
0.000743;
-0.002368;
-0.010751;
-0.176410;
0.062295;
0.077963;
-0.083651;
0.029389;
-0.020445;
0.076122;
0.003428;
-0.030779;
0.049708;
-0.132634;
0.058826;
0.016827;
0.012777;
-0.137049;
-0.128986;
-0.045623;
-0.035973;
-0.111852;
0.020138;
-0.015458;
0.109113;
0.109965;
0.055378;
0.143010;
-0.113393;
-0.016584;
-0.087435;
-0.111518;
0.079477;
0.042106;
0.088920;
-0.015052;
0.049550;
0.071081;
0.056872;
0.150971;
-0.110830;
0.001461;
0.128604;
-0.072000;
0.002178;
0.061427;
0.027966;
0.055236;
-0.066406;
0.074988;
-0.040992;
0.006172;
-0.095790;
0.005375;
-0.097823;
0.132900;
-0.052653;
0.041570;
-0.004437;
0.075350;
-0.052265;
-0.027546;
-0.049353;
-0.039999;
-0.097240;
-0.012860;
-0.042639;
-0.004080;
0.141458;
0.043772;
-0.147993;
0.044794;
-0.023443;
-0.039271;
0.116404;
-0.024233;
-0.089793;
-0.025057;
-0.093120;
-0.068292;
-0.011688;
-0.010096;
-0.008683;
0.086967;
-0.005177;
-0.078564;
-0.105217;
0.002357;
-0.038684;
-0.104706;
0.021080;
0.210725;
-0.008966;
-0.198666;
0.004773;
-0.129393;
0.027328;
